Assay #,PDZ,Serial #,Date,Time,Application,Method,Duration (Actual),Sanity Check,Info Fields (Combined),MgO,MgO Err,Al2O3,Al2O3 Err,SiO2,SiO2 Err,P,P Err,S,S Err,Cl,Cl Err,K2O,K2O Err,Ca,Ca Err,Ti,Ti Err,V,V Err,Cr,Cr Err,Mn,Mn Err,Fe,Fe Err,Co,Co Err,Ni,Ni Err,Cu,Cu Err,Zn,Zn Err,Ga,Ga Err,As,As Err,Se,Se Err,Rb,Rb Err,Sr,Sr Err,Y,Y Err,Zr,Zr Err,Nb,Nb Err,Mo,Mo Err,Rh,Rh Err,Ag,Ag Err,Cd,Cd Err,In,In Err,Sn,Sn Err,Sb,Sb Err,Te,Te Err,Ba,Ba Err,La,La Err,Ce,Ce Err,Hf,Hf Err,Ta,Ta Err,W,W Err,Pt,Pt Err,Au,Au Err,Hg,Hg Err,Tl,Tl Err,Pb,Pb Err,Bi,Bi Err,Th,Th Err,U,U Err,Pd,Pd Err,Pt,Pt Err
1,7,800N11536,,,,,,PASS,"SiO2 normal-cupped short-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,800N11536,,,,,,PASS,"ZIC normal-cupped short-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,9,800N11536,,,,,,PASS,"Rutile normal-cupped short-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,10,800N11536,,,,,,PASS,"23104 2nd Ilmenite normal-cupped short-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11,800N11536,,,,,,PASS,"23104 Ilmenite normal-cupped short-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,12,800N11536,,,,,,PASS,"Ilmenite normal-cupped short-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,13,800N11536,,,,,,PASS,"23104 non-mag con normal-cupped short-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14,800N11536,,,,,,PASS,"HiTi normal-cupped short-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15,800N11536,,,,,,PASS,"2408 Reup NM normal-cupped short-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,16,800N11536,,,,,,PASS,"Zircon normal-cupped short-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,17,800N11536,,,,,,PASS,"Zircon old normal-cupped short-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,18,800N11536,,,,,,PASS,"SiO2 normal-cupped long-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,19,800N11536,,,,,,PASS,"ZIC normal-cupped long-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,20,800N11536,,,,,,PASS,"Rutile normal-cupped long-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,21,800N11536,,,,,,PASS,"23104 2nd Ilmenite normal-cupped long-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,22,800N11536,,,,,,PASS,"23104 Ilmenite normal-cupped long-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,23,800N11536,,,,,,PASS,"Ilmenite normal-cupped long-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,24,800N11536,,,,,,PASS,"23104 non-mag con normal-cupped long-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,25,800N11536,,,,,,PASS,"HiTi normal-cupped long-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,26,800N11536,,,,,,PASS,"2408 Reup NM normal-cupped long-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,27,800N11536,,,,,,PASS,"Zircon normal-cupped long-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,28,800N11536,,,,,,PASS,"Zircon old normal-cupped long-beams,0,0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,30,800N11536,2024/03/01,14:36:23,GeoExploration,Oxide3phase,71.23s,PASS,"SiO2 5mm from nose,42,70",8694,627,0,162,213557,763,0,21,0,25,0,16,237,9,0,9,15,9,0,8,23,5,3,3,63,3,0,2,11,4,21,2,6,1,0,1,0,23,2,1,3,2,3,2,2,2,0,9,8,6,2699,50,0,2,34,22,14,8,0,7,0,16,16,4,49,8,3,23,6,76,187,157,0,10,0,17,0,6,,,0,2,0,4,1,6,2,8,6,6,0,4,10,6,,,,
24,31,800N11536,2024/03/01,14:37:53,GeoExploration,Oxide3phase,72.9s,PASS,"ZIC 5mm from nose,42,105",8666,666,3742,110,30854,355,0,56,0,33,0,17,248,10,46,16,71813,306,259,52,0,14,212,9,8462,33,287,10,263,36,166,21,375,11,125,8,16,94,1,1,0,8,16,5,1239,11,572811,838,1846,53,0,398,0,2,50,18,0,6,250,5,251,34,4,2,3,6,28,17,365,63,4848,344,712,20,0,30,0,26,,,0,2,0,5,0,26,0,43,1438,89,888,42,77,14,0,2,25,8
25,32,800N11536,2024/03/01,14:39:24,GeoExploration,Oxide3phase,72.55s,PASS,"Rutile 5mm from nose,42,140",7120,686,2789,213,2926,230,0,30,0,33,0,18,554,11,0,13,115205,214,0,101,0,7,316,3,292,6,0,2,37,11,0,7,14,3,0,3,0,51,2,1,7,4,19,2,6,2,8664,91,4436,52,0,137,0,2,,,2,7,0,5,90,20,6,3,30,7,34,19,34,63,1465,158,11639,14,0,18,0,13,,,0,1,1,4,0,15,0,20,51,16,614,16,24,8,0,2,61,6
26,33,800N11536,2024/03/01,14:40:55,GeoExploration,Oxide3phase,72.73s,PASS,"23104 2nd Ilmenite 5mm from nose,42,175",8953,681,2211,192,0,150,0,30,0,32,0,18,314,11,0,14,59625,155,0,72,0,22,750,13,15351,41,0,12,53,17,0,9,114,6,0,4,0,75,1,1,5,5,9,3,11,2,16106,140,1526,37,0,182,0,2,,,11,6,0,5,0,15,5,2,3,7,122,18,64,56,640,143,3121,11,0,18,0,15,,,0,1,0,4,0,22,0,32,107,28,266,23,20,8,0,2,31,6
27,34,800N11536,2024/03/01,14:42:25,GeoExploration,Oxide3phase,71.96s,PASS,"23104 Ilmenite 5mm from nose,42,210",9390,693,1932,183,0,134,0,27,0,32,0,17,309,11,0,14,49660,139,0,67,0,10,651,11,20912,48,0,14,30,18,0,8,145,6,0,4,0,78,1,1,16,5,4,2,2,2,5537,89,888,32,0,190,0,2,49,18,4,6,0,5,0,14,5,2,3,6,55,17,0,55,486,136,2357,10,0,17,0,16,,,0,1,0,3,0,21,0,31,83,26,176,23,12,6,0,2,28,6
28,35,800N11536,2024/03/01,14:43:56,GeoExploration,Oxide3phase,72.67s,PASS,"Ilmenite 5mm from nose,42,245",9158,739,2606,203,0,148,0,30,0,36,0,19,333,11,0,15,67578,163,0,79,0,12,803,12,26094,54,0,15,44,18,0,7,101,5,0,3,0,65,1,1,7,4,10,2,14,2,5054,77,862,29,0,162,0,2,,,8,6,0,5,0,15,8,3,22,7,49,18,0,59,401,144,4413,11,0,17,0,14,,,0,1,0,4,19,19,0,27,74,23,168,20,16,7,0,2,18,6
29,36,800N11536,2024/03/01,14:45:31,GeoExploration,Oxide3phase,72.89s,PASS,"23104 non-mag con 5mm from nose,77,70",7862,644,0,0,60280,448,0,74,0,31,0,17,320,10,0,13,184824,625,779,68,0,11,124,6,739,11,59,5,274,39,789,29,8,8,253,11,88,120,1,1,6,11,18,6,559,8,1000000,1221,3463,71,0,552,0,2,0,17,3,5,278,5,888,56,0,2,0,6,0,16,82,64,2516,461,1211,16,40,35,0,34,,,,,0,5,3,34,0,52,1284,135,590,45,66,15,0,2,17,9
30,37,800N11536,2024/03/01,14:47:01,GeoExploration,Oxide3phase,71.99s,PASS,"HiTi 5mm from nose,77,105",7764,696,3095,222,4458,239,0,32,0,35,0,18,472,12,0,15,104209,204,0,95,0,7,278,3,660,9,0,3,33,13,0,7,16,3,0,3,0,52,3,1,8,4,51,3,20,2,9735,96,4779,54,0,138,0,2,,,10,7,0,5,114,19,4,3,13,7,102,19,0,62,1602,159,9372,14,0,17,0,14,,,0,1,1,4,7,14,51,22,61,17,678,16,26,8,0,2,74,6
31,38,800N11536,2024/03/01,14:48:32,GeoExploration,Oxide3phase,72.77s,PASS,"2408 Reup NM 5mm from nose,77,140",7892,622,0,0,79846,490,0,69,0,30,0,17,307,10,0,11,64678,417,0,40,0,11,33,6,658,10,63,5,384,44,1423,35,14,9,326,13,380,150,2,1,0,12,0,6,753,9,1000000,1452,1848,68,0,640,0,2,0,16,0,5,268,5,458,56,1,2,0,6,0,15,282,67,8160,570,449,11,78,39,0,38,,,,,0,5,32,40,0,61,3408,234,682,55,67,16,0,2,34,10
32,39,800N11536,2024/03/01,14:50:03,GeoExploration,Oxide3phase,72.44s,PASS,"Zircon 5mm from nose,77,175",8121,636,0,0,33560,347,0,118,0,35,0,16,219,8,0,10,1305,163,0,16,70,11,8,6,330,8,77,6,519,71,4093,63,0,13,722,23,308,217,1,1,12,19,0,6,764,10,1000000,2431,1645,102,0,1045,0,2,0,17,0,6,258,5,895,93,0,2,0,6,0,15,0,75,0,822,0,0,654,52,0,58,,,,,2,6,0,63,0,93,3247,1242,0,75,30,19,0,2,,
33,40,800N11536,2024/03/01,14:51:34,GeoExploration,Oxide3phase,72.47s,PASS,"Zircon old 5mm from nose,77,210",8626,633,0,0,31094,337,0,114,0,34,0,16,214,8,0,10,868,144,2,17,73,11,15,6,325,8,84,6,593,70,3991,62,9,13,872,22,297,209,0,1,16,18,0,7,696,10,1000000,2297,1473,97,0,993,0,2,0,17,0,5,244,5,831,89,1,2,0,6,0,15,0,74,0,788,0,0,0,51,0,57,,,,,0,6,15,59,0,86,37364,7827,0,72,0,19,0,2,46,12
34,41,800N11536,2024/03/01,15:06:58,GeoExploration,Oxide3phase,70.91s,PASS,"SiO2 10mm from nose,42,70",9909,557,231,131,14925,263,0,20,0,26,0,16,224,8,0,9,3,5,0,6,16,4,1,2,50,3,0,2,53,12,53,6,18,3,3,3,0,61,1,0,6,4,2,2,2,2,0,25,16,16,8927,156,0,2,32,19,0,6,0,5,0,12,5,3,14,7,4,18,80,60,0,145,0,8,0,15,0,12,0,5,0,1,0,3,0,17,0,22,5,21,0,16,12,6,,,,
35,42,800N11536,2024/03/01,15:08:30,GeoExploration,Oxide3phase,73.17s,PASS,"ZIC 10mm from nose,42,105",9920,555,1098,110,0,143,0,23,0,26,0,16,254,8,0,10,6024,62,0,19,0,6,38,4,1536,13,0,4,161,31,165,17,128,8,5,6,244,122,1,0,14,9,0,3,236,5,199008,661,2129,50,0,411,0,1,37,15,0,5,110,5,0,15,4,2,3,5,6,13,185,47,1337,168,25,10,0,16,0,25,26,6,0,1,7,3,25,33,0,49,416,74,257,43,0,8,0,1,,
36,43,800N11536,2024/03/01,15:10:00,GeoExploration,Oxide3phase,72.54s,PASS,"Rutile 10mm from nose,42,140",8566,564,1089,138,0,125,0,22,0,27,0,16,274,8,0,10,15331,76,0,37,0,4,44,2,73,3,0,2,57,20,0,11,31,5,0,4,52,105,1,0,11,7,0,2,0,1,3644,95,1988,55,0,276,0,2,63,16,15,5,0,5,0,11,0,2,3,6,46,14,39,48,421,119,224,8,0,15,0,20,83,5,0,1,1,3,49,31,0,41,75,49,306,28,5,6,0,1,,
37,44,800N11536,2024/03/01,15:11:30,GeoExploration,Oxide3phase,72.27s,PASS,"23104 2nd Ilmenite 10mm from nose,42,175",9608,575,965,132,0,115,0,21,0,27,0,16,228,8,0,11,9607,60,0,30,0,9,129,6,2533,17,0,5,41,23,0,12,69,6,0,5,234,113,2,0,20,7,0,2,3,2,6406,126,874,40,0,303,0,2,37,15,10,5,0,5,0,10,2,2,0,6,52,14,24,47,257,118,79,7,0,16,0,22,40,5,0,1,0,3,42,32,0,44,157,55,136,31,0,6,0,1,,
38,45,800N11536,2024/03/01,15:13:00,GeoExploration,Oxide3phase,72.22s,PASS,"23104 Ilmenite 10mm from nose,42,210",9525,584,1153,144,0,119,0,22,0,28,0,16,258,9,0,11,12442,68,0,34,0,7,166,6,5218,24,0,7,35,22,0,11,71,6,0,4,17,114,0,0,27,8,0,2,2,1,2986,92,614,37,0,299,0,2,33,15,11,5,0,4,0,10,3,2,7,6,39,14,26,47,251,118,150,7,0,14,0,20,16,5,0,1,0,3,5,31,0,43,53,53,57,31,7,6,0,1,,
39,46,800N11536,2024/03/01,15:14:30,GeoExploration,Oxide3phase,71.85s,PASS,"Ilmenite 10mm from nose,42,245",8227,558,740,130,0,112,0,21,0,27,0,16,224,8,0,10,6150,48,0,24,0,5,64,4,2473,16,0,5,21,23,0,12,53,6,0,4,14,114,1,0,5,8,0,2,0,1,1360,73,356,34,0,322,0,1,38,15,4,5,0,4,0,9,3,2,6,6,29,13,9,44,123,110,37,7,0,14,0,22,29,5,0,1,2,3,69,35,0,42,111,49,84,34,0,6,0,1,,
40,47,800N11536,2024/03/01,15:16:05,GeoExploration,Oxide3phase,72.74s,PASS,"23104 non-mag con 10mm from nose,77,70",8460,553,640,103,2995,204,0,26,0,27,0,16,243,8,0,10,15853,106,50,29,0,5,34,3,204,5,11,2,101,25,40,16,27,6,13,6,0,117,1,1,12,9,0,3,74,3,252877,732,2843,59,0,428,0,2,,,2,5,131,5,0,18,3,2,0,5,19,14,17,47,601,181,102,11,0,17,0,25,20,6,0,1,0,3,27,36,0,49,183,63,259,39,4,8,0,1,,
41,48,800N11536,2024/03/01,15:17:36,GeoExploration,Oxide3phase,72.33s,PASS,"HiTi 10mm from nose,77,105",9155,581,664,137,0,128,0,22,0,27,0,16,310,9,0,10,15838,77,0,38,0,5,42,2,138,4,0,2,69,21,0,12,29,5,0,4,19,102,1,0,15,7,7,2,1,2,3841,99,2459,60,0,273,0,2,28,15,2,5,0,5,0,10,2,2,0,6,55,14,69,48,553,119,233,7,0,15,0,21,74,5,0,1,2,3,22,29,0,40,17,46,298,30,4,6,0,1,,
42,49,800N11536,2024/03/01,15:19:06,GeoExploration,Oxide3phase,72.77s,PASS,"2408 Reup NM 10mm from nose,77,140",7685,546,364,66,570,188,0,28,0,27,0,16,201,8,0,10,4850,70,13,16,0,6,9,3,172,5,11,3,196,32,226,21,41,7,75,8,0,145,1,1,4,12,0,3,159,4,445049,1060,2443,57,0,554,0,1,,,9,5,197,4,104,22,2,2,0,5,20,13,16,45,698,226,162,12,0,20,0,30,11,6,0,1,6,3,0,43,0,64,510,125,110,51,11,10,0,1,,
43,50,800N11536,2024/03/01,15:20:36,GeoExploration,Oxide3phase,72.18s,PASS,"Zircon 10mm from nose,77,175",8333,555,1,0,0,157,0,45,0,28,0,16,190,8,0,10,81,35,0,9,39,6,5,3,125,4,22,3,217,42,768,32,26,8,153,11,115,192,1,1,8,15,0,3,190,5,889668,1638,2629,75,0,793,0,1,,,0,5,234,4,230,34,2,2,0,5,11,13,0,44,563,320,347,12,62,26,0,36,19,7,0,1,1,4,0,54,0,77,640,294,0,63,22,11,0,1,,
44,51,800N11536,2024/03/01,15:22:06,GeoExploration,Oxide3phase,71.46s,PASS,"Zircon old 10mm from nose,77,210",9559,576,0,0,0,163,0,48,0,28,0,16,205,8,0,10,221,41,0,10,34,7,1,4,141,5,25,3,298,46,900,36,11,10,205,13,103,189,0,1,5,16,0,4,203,5,950479,1653,2511,74,0,788,0,1,0,15,0,5,227,4,238,36,0,2,0,5,0,12,0,47,702,334,371,12,58,29,0,41,,,0,1,0,4,0,55,0,77,754,492,0,64,2,11,0,1,,
